epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,7978.06,0.50134,0.30392,0.95422,0.83101,0.73869,0.74939,0.49963,1.48574,1.13052,1.75257,0.000461898,0.000461898,0.000461898
137,8035.37,0.48742,0.29675,0.94193,0.8262,0.72623,0.75741,0.49082,1.48906,1.14952,1.7554,0.00045915,0.00045915,0.00045915
138,8095.07,0.48725,0.3005,0.9517,0.862,0.71765,0.76553,0.48934,1.50877,1.12224,1.76302,0.000456401,0.000456401,0.000456401
139,8154.59,0.48217,0.29871,0.94747,0.86137,0.71662,0.75324,0.48649,1.493,1.17439,1.75841,0.000453652,0.000453652,0.000453652
140,8214.17,0.48059,0.29754,0.94785,0.86714,0.71613,0.77162,0.48595,1.48195,1.16027,1.74391,0.000450903,0.000450903,0.000450903
141,8273.38,0.47849,0.29364,0.94374,0.8672,0.70325,0.75033,0.47915,1.51219,1.17613,1.80603,0.000448154,0.000448154,0.000448154
142,8333.11,0.47559,0.29214,0.94698,0.83898,0.74901,0.76038,0.47881,1.49454,1.18504,1.78699,0.000445405,0.000445405,0.000445405
143,8392.35,0.47349,0.29374,0.94525,0.85631,0.70383,0.73614,0.4871,1.47591,1.16844,1.74053,0.000442656,0.000442656,0.000442656
144,8451.09,0.4716,0.29126,0.93874,0.8558,0.69027,0.73369,0.47667,1.49573,1.14364,1.74869,0.000439907,0.000439907,0.000439907
145,8508.31,0.46825,0.29036,0.93581,0.8428,0.69573,0.72101,0.47509,1.52716,1.1722,1.77775,0.000437158,0.000437158,0.000437158
146,8560.57,0.46464,0.28852,0.93906,0.85344,0.67416,0.73199,0.47882,1.49739,1.1841,1.77298,0.000434409,0.000434409,0.000434409
147,8616.2,0.47244,0.29245,0.94405,0.84634,0.72539,0.74571,0.48496,1.49364,1.13502,1.76104,0.000431661,0.000431661,0.000431661
148,8667.61,0.46389,0.29036,0.93992,0.87132,0.67523,0.72391,0.47572,1.5074,1.26071,1.78523,0.000428912,0.000428912,0.000428912
149,8722.93,0.4661,0.29174,0.93564,0.85385,0.69722,0.71973,0.46564,1.50411,1.2311,1.76588,0.000426163,0.000426163,0.000426163
150,8777.89,0.46463,0.28664,0.94163,0.80368,0.72901,0.73264,0.46914,1.51804,1.16236,1.75411,0.000423414,0.000423414,0.000423414
151,8831.51,0.45944,0.2814,0.93472,0.84794,0.7326,0.75106,0.48334,1.5349,1.14602,1.75559,0.000420665,0.000420665,0.000420665
152,8886.41,0.4666,0.29044,0.94398,0.83506,0.72507,0.7233,0.46316,1.50593,1.16655,1.76195,0.000417916,0.000417916,0.000417916
153,8936.93,0.4538,0.28044,0.93268,0.8365,0.73132,0.73036,0.47049,1.51941,1.17025,1.77428,0.000415167,0.000415167,0.000415167
